v8-version,8,4,371,23,-node.84,0
code-creation,Builtin,3,2740,0x13dd9e0,245,InstantiateAsmJs
code-creation,Builtin,3,2744,0x13ddae0,32,NotifyDeoptimized
code-creation,Builtin,3,2749,0x13ddb20,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,2753,0x13ddb60,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,2758,0x13ddba0,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,2770,0x13ddbe0,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,2777,0x13ddc40,287,CallApiCallback
code-creation,Builtin,3,2784,0x13ddd60,269,CallApiGetter
code-creation,Builtin,3,2790,0x13dde80,12,HandleApiCall
code-creation,Builtin,3,2797,0x13ddea0,12,HandleApiCallAsFunction
code-creation,Builtin,3,2803,0x13ddec0,12,HandleApiCallAsConstructor
code-creation,Builtin,3,2810,0x13ddee0,72,AllocateInYoungGeneration
code-creation,Builtin,3,2817,0x13ddf40,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,2823,0x13ddf80,72,AllocateInOldGeneration
code-creation,Builtin,3,2830,0x13ddfe0,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,2837,0x13de020,484,CopyFastSmiOrObjectElements
code-creation,Builtin,3,2844,0x13de220,563,GrowFastDoubleElements
code-creation,Builtin,3,2850,0x13de460,442,GrowFastSmiOrObjectElements
code-creation,Builtin,3,2857,0x13de620,353,NewArgumentsElements
code-creation,Builtin,3,2864,0x13de7a0,500,DebugBreakTrampoline
code-creation,Builtin,3,2871,0x13de9a0,141,FrameDropperTrampoline
code-creation,Builtin,3,2877,0x13dea40,45,HandleDebuggerStatement
code-creation,Builtin,3,2884,0x13dea80,254,ToObject
code-creation,Builtin,3,2890,0x13deb80,100,ToBoolean
code-creation,Builtin,3,2896,0x13dec00,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,2903,0x13ded20,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,2910,0x13dee40,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,2917,0x13def20,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,2924,0x13df000,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,2930,0x13df0e0,85,StringToNumber
code-creation,Builtin,3,2937,0x13df140,129,ToName
code-creation,Builtin,3,2944,0x13df1e0,235,NonNumberToNumber
code-creation,Builtin,3,2950,0x13df2e0,255,NonNumberToNumeric
code-creation,Builtin,3,2956,0x13df3e0,239,ToNumber
code-creation,Builtin,3,2962,0x13df4e0,272,ToNumberConvertBigInt
code-creation,Builtin,3,2969,0x13df600,275,ToNumeric
code-creation,Builtin,3,2975,0x13df720,261,NumberToString
code-creation,Builtin,3,2982,0x13df840,382,ToLength
code-creation,Builtin,3,2988,0x13df9c0,140,Typeof
code-creation,Builtin,3,2994,0x13dfa60,69,GetSuperConstructor
code-creation,Builtin,3,3000,0x13dfac0,125,BigIntToI64
code-creation,Builtin,3,3006,0x13dfb40,12,BigIntToI32Pair
code-creation,Builtin,3,3013,0x13dfb60,309,I64ToBigInt
code-creation,Builtin,3,3019,0x13dfca0,12,I32PairToBigInt
code-creation,Builtin,3,3027,0x13dfcc0,108,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,3034,0x13dfd40,3433,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,3041,0x13e0ac0,16456,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,3048,0x13e4b20,245,LoadGlobalIC_NoFeedback
code-creation,Builtin,3,3055,0x13e4c20,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,3062,0x13e4c80,20,LoadIC_StringLength
code-creation,Builtin,3,3068,0x13e4ca0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,3075,0x13e4cc0,3112,LoadIC_NoFeedback
code-creation,Builtin,3,3081,0x13e5900,40,StoreGlobalIC_Slow
code-creation,Builtin,3,3088,0x13e5940,7252,StoreIC_NoFeedback
code-creation,Builtin,3,3094,0x13e75a0,188,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,3101,0x13e7660,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,3108,0x13e76c0,340,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,3115,0x13e7820,340,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,3122,0x13e7980,340,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,3130,0x13e7ae0,340,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,3137,0x13e7c40,6836,StoreFastElementIC_Standard
code-creation,Builtin,3,3144,0x13e9700,10700,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,3151,0x13ec0e0,6832,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,3158,0x13edba0,6500,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,3165,0x13ef520,9396,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,3172,0x13f19e0,21824,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,3180,0x13f6f40,9396,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,3187,0x13f9400,12372,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,3195,0x13fc460,760,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,3201,0x13fc760,176,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,3208,0x13fc820,80,HasIndexedInterceptorIC
code-creation,Builtin,3,3215,0x13fc880,156,EnqueueMicrotask
code-creation,Builtin,3,3222,0x13fc920,8,RunMicrotasksTrampoline
code-creation,Builtin,3,3228,0x13fc940,3908,RunMicrotasks
code-creation,Builtin,3,3234,0x13fd8a0,2374,HasProperty
code-creation,Builtin,3,3241,0x13fe200,1108,DeleteProperty
code-creation,Builtin,3,3247,0x13fe660,1859,CopyDataProperties
code-creation,Builtin,3,3253,0x13fedc0,8950,SetDataProperties
code-creation,Builtin,3,3259,0x14010c0,36,Abort
code-creation,Builtin,3,3266,0x1401100,36,AbortCSAAssert
code-creation,Builtin,3,3273,0x1401140,12,EmptyFunction
code-creation,Builtin,3,3279,0x1401160,12,Illegal
code-creation,Builtin,3,3285,0x1401180,12,StrictPoisonPillThrower
code-creation,Builtin,3,3292,0x14011a0,12,UnsupportedThrower
code-creation,Builtin,3,3299,0x14011c0,65,ReturnReceiver
code-creation,Builtin,3,3305,0x1401220,36,ArrayConstructor
code-creation,Builtin,3,3312,0x1401260,413,ArrayConstructorImpl
code-creation,Builtin,3,3319,0x1401400,221,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,3326,0x14014e0,221,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,3334,0x14015c0,181,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,3341,0x1401680,181,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,3349,0x1401740,181,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,3357,0x1401800,181,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,3364,0x14018c0,193,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,3372,0x14019a0,193,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,3380,0x1401a80,521,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,3388,0x1401ca0,485,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,3396,0x1401ea0,445,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,3405,0x1402060,405,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,3413,0x1402200,445,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,3421,0x14023c0,405,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,3429,0x1402560,453,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,3436,0x1402740,417,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,3444,0x1402900,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,3451,0x1402960,12,ArrayConcat
code-creation,Builtin,3,3457,0x1402980,12,ArrayPrototypeFill
code-creation,Builtin,3,3464,0x14029a0,958,ArrayIncludesSmiOrObject
code-creation,Builtin,3,3471,0x1402d60,148,ArrayIncludesPackedDoubles
code-creation,Builtin,3,3478,0x1402e00,216,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,3485,0x1402ee0,561,ArrayIncludes
code-creation,Builtin,3,3491,0x1403120,882,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,3497,0x14034a0,124,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,3504,0x1403520,124,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,3511,0x14035a0,569,ArrayIndexOf
code-creation,Builtin,3,3518,0x14037e0,12,ArrayPop
code-creation,Builtin,3,3525,0x1403800,674,ArrayPrototypePop
code-creation,Builtin,3,3532,0x1403ac0,12,ArrayPush
code-creation,Builtin,3,3538,0x1403ae0,2758,ArrayPrototypePush
code-creation,Builtin,3,3544,0x14045c0,12,ArrayShift
code-creation,Builtin,3,3551,0x14045e0,12,ArrayUnshift
code-creation,Builtin,3,3557,0x1404600,1074,CloneFastJSArray
code-creation,Builtin,3,3563,0x1404a40,2482,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,3570,0x1405400,1082,ExtractFastJSArray
code-creation,Builtin,3,3577,0x1405840,287,ArrayPrototypeEntries
code-creation,Builtin,3,3584,0x1405960,271,ArrayPrototypeKeys
code-creation,Builtin,3,3590,0x1405a80,287,ArrayPrototypeValues
code-creation,Builtin,3,3596,0x1405ba0,4332,ArrayIteratorPrototypeNext
code-creation,Builtin,3,3603,0x1406ca0,3988,FlattenIntoArray
code-creation,Builtin,3,3611,0x1407c40,4012,FlatMapIntoArray
code-creation,Builtin,3,3617,0x1408c00,508,ArrayPrototypeFlat
code-creation,Builtin,3,3623,0x1408e00,556,ArrayPrototypeFlatMap
code-creation,Builtin,3,3630,0x1409040,12,ArrayBufferConstructor
code-creation,Builtin,3,3651,0x1409060,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,3658,0x1409080,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,3665,0x14090a0,12,ArrayBufferIsView
code-creation,Builtin,3,3671,0x14090c0,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,3677,0x14090e0,724,AsyncFunctionEnter
code-creation,Builtin,3,3684,0x14093c0,161,AsyncFunctionReject
code-creation,Builtin,3,3690,0x1409480,153,AsyncFunctionResolve
code-creation,Builtin,3,3697,0x1409520,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,3704,0x1409540,2376,AsyncFunctionAwaitCaught
code-creation,Builtin,3,3710,0x1409ea0,2376,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,3717,0x140a800,187,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,3723,0x140a8c0,179,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,3730,0x140a980,12,BigIntConstructor
code-creation,Builtin,3,3737,0x140a9a0,12,BigIntAsUintN
code-creation,Builtin,3,3743,0x140a9c0,12,BigIntAsIntN
code-creation,Builtin,3,3749,0x140a9e0,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,3756,0x140aa00,12,BigIntPrototypeToString
code-creation,Builtin,3,3762,0x140aa20,12,BigIntPrototypeValueOf
code-creation,Builtin,3,3768,0x140aa40,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,3775,0x140aa60,12,CallSitePrototypeGetEnclosingColumnNumber
code-creation,Builtin,3,3782,0x140aa80,12,CallSitePrototypeGetEnclosingLineNumber
code-creation,Builtin,3,3790,0x140aaa0,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,3799,0x140aac0,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,3809,0x140aae0,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,3824,0x140ab00,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,3834,0x140ab20,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,3843,0x140ab40,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,3852,0x140ab60,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,3860,0x140ab80,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,3,3869,0x140aba0,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,3880,0x140abc0,12,CallSitePrototypeGetThis
code-creation,Builtin,3,3890,0x140abe0,12,CallSitePrototypeGetTypeName
code-creation,Builtin,3,3900,0x140ac00,12,CallSitePrototypeIsAsync
code-creation,Builtin,3,3909,0x140ac20,12,CallSitePrototypeIsConstructor
code-creation,Builtin,3,3919,0x140ac40,12,CallSitePrototypeIsEval
code-creation,Builtin,3,3929,0x140ac60,12,CallSitePrototypeIsNative
code-creation,Builtin,3,3936,0x140ac80,12,CallSitePrototypeIsPromiseAll
code-creation,Builtin,3,3946,0x140aca0,12,CallSitePrototypeIsToplevel
code-creation,Builtin,3,3955,0x140acc0,12,CallSitePrototypeToString
code-creation,Builtin,3,3965,0x140ace0,12,ConsoleDebug
code-creation,Builtin,3,3973,0x140ad00,12,ConsoleError
code-creation,Builtin,3,3981,0x140ad20,12,ConsoleInfo
code-creation,Builtin,3,3988,0x140ad40,12,ConsoleLog
code-creation,Builtin,3,3999,0x140ad60,12,ConsoleWarn
code-creation,Builtin,3,4006,0x140ad80,12,ConsoleDir
code-creation,Builtin,3,4012,0x140ada0,12,ConsoleDirXml
code-creation,Builtin,3,4019,0x140adc0,12,ConsoleTable
code-creation,Builtin,3,4028,0x140ade0,12,ConsoleTrace
code-creation,Builtin,3,4037,0x140ae00,12,ConsoleGroup
code-creation,Builtin,3,4047,0x140ae20,12,ConsoleGroupCollapsed
code-creation,Builtin,3,4056,0x140ae40,12,ConsoleGroupEnd
code-creation,Builtin,3,4066,0x140ae60,12,ConsoleClear
code-creation,Builtin,3,4075,0x140ae80,12,ConsoleCount
code-creation,Builtin,3,4084,0x140aea0,12,ConsoleCountReset
code-creation,Builtin,3,4093,0x140aec0,12,ConsoleAssert
code-creation,Builtin,3,4102,0x140aee0,12,ConsoleProfile
code-creation,Builtin,3,4110,0x140af00,12,ConsoleProfileEnd
code-creation,Builtin,3,4117,0x140af20,12,ConsoleTime
code-creation,Builtin,3,4123,0x140af40,12,ConsoleTimeLog
code-creation,Builtin,3,4130,0x140af60,12,ConsoleTimeEnd
code-creation,Builtin,3,4136,0x140af80,12,ConsoleTimeStamp
code-creation,Builtin,3,4142,0x140afa0,12,ConsoleContext
code-creation,Builtin,3,4150,0x140afc0,12,DataViewConstructor
code-creation,Builtin,3,4157,0x140afe0,12,DateConstructor
code-creation,Builtin,3,4164,0x140b000,238,DatePrototypeGetDate
code-creation,Builtin,3,4171,0x140b100,238,DatePrototypeGetDay
code-creation,Builtin,3,4177,0x140b200,238,DatePrototypeGetFullYear
code-creation,Builtin,3,4181,0x140b300,238,DatePrototypeGetHours
code-creation,Builtin,3,4187,0x140b400,206,DatePrototypeGetMilliseconds
code-creation,Builtin,3,4192,0x140b4e0,238,DatePrototypeGetMinutes
code-creation,Builtin,3,4197,0x140b5e0,238,DatePrototypeGetMonth
code-creation,Builtin,3,4201,0x140b6e0,238,DatePrototypeGetSeconds
code-creation,Builtin,3,4206,0x140b7e0,142,DatePrototypeGetTime
code-creation,Builtin,3,4210,0x140b880,206,DatePrototypeGetTimezoneOffset
code-creation,Builtin,3,4214,0x140b960,206,DatePrototypeGetUTCDate
code-creation,Builtin,3,4218,0x140ba40,206,DatePrototypeGetUTCDay
code-creation,Builtin,3,4222,0x140bb20,206,DatePrototypeGetUTCFullYear
code-creation,Builtin,3,4226,0x140bc00,206,DatePrototypeGetUTCHours
code-creation,Builtin,3,4230,0x140bce0,206,DatePrototypeGetUTCMilliseconds
code-creation,Builtin,3,4234,0x140bdc0,206,DatePrototypeGetUTCMinutes
code-creation,Builtin,3,4239,0x140bea0,206,DatePrototypeGetUTCMonth
code-creation,Builtin,3,4243,0x140bf80,206,DatePrototypeGetUTCSeconds
code-creation,Builtin,3,4247,0x140c060,142,DatePrototypeValueOf
code-creation,Builtin,3,4251,0x140c100,460,DatePrototypeToPrimitive
code-creation,Builtin,3,4255,0x140c2e0,12,DatePrototypeGetYear
code-creation,Builtin,3,4259,0x140c300,12,DatePrototypeSetYear
code-creation,Builtin,3,4263,0x140c320,12,DateNow
code-creation,Builtin,3,4267,0x140c340,12,DateParse
code-creation,Builtin,3,4271,0x140c360,12,DatePrototypeSetDate
code-creation,Builtin,3,4280,0x140c380,12,DatePrototypeSetFullYear
code-creation,Builtin,3,4284,0x140c3a0,12,DatePrototypeSetHours
code-creation,Builtin,3,4289,0x140c3c0,12,DatePrototypeSetMilliseconds
code-creation,Builtin,3,4294,0x140c3e0,12,DatePrototypeSetMinutes
code-creation,Builtin,3,4298,0x140c400,12,DatePrototypeSetMonth
code-creation,Builtin,3,4303,0x140c420,12,DatePrototypeSetSeconds
code-creation,Builtin,3,4307,0x140c440,12,DatePrototypeSetTime
code-creation,Builtin,3,4311,0x140c460,12,DatePrototypeSetUTCDate
code-creation,Builtin,3,4315,0x140c480,12,DatePrototypeSetUTCFullYear
code-creation,Builtin,3,4319,0x140c4a0,12,DatePrototypeSetUTCHours
code-creation,Builtin,3,4323,0x140c4c0,12,DatePrototypeSetUTCMilliseconds
code-creation,Builtin,3,4328,0x140c4e0,12,DatePrototypeSetUTCMinutes
code-creation,Builtin,3,4332,0x140c500,12,DatePrototypeSetUTCMonth
code-creation,Builtin,3,4337,0x140c520,12,DatePrototypeSetUTCSeconds
code-creation,Builtin,3,4341,0x140c540,12,DatePrototypeToDateString
code-creation,Builtin,3,4345,0x140c560,12,DatePrototypeToISOString
code-creation,Builtin,3,4349,0x140c580,12,DatePrototypeToUTCString
code-creation,Builtin,3,4353,0x140c5a0,12,DatePrototypeToString
code-creation,Builtin,3,4358,0x140c5c0,12,DatePrototypeToTimeString
code-creation,Builtin,3,4362,0x140c5e0,12,DatePrototypeToJson
code-creation,Builtin,3,4366,0x140c600,12,DateUTC
code-creation,Builtin,3,4370,0x140c620,12,ErrorConstructor
code-creation,Builtin,3,4375,0x140c640,12,ErrorCaptureStackTrace
code-creation,Builtin,3,4380,0x140c660,12,ErrorPrototypeToString
code-creation,Builtin,3,4384,0x140c680,12,FunctionConstructor
code-creation,Builtin,3,4389,0x140c6a0,64,FunctionPrototypeApply
code-creation,Builtin,3,4394,0x140c700,12,FunctionPrototypeBind
code-creation,Builtin,3,4398,0x140c720,896,FastFunctionPrototypeBind
code-creation,Builtin,3,4402,0x140cac0,47,FunctionPrototypeCall
code-creation,Builtin,3,4407,0x140cb00,351,FunctionPrototypeHasInstance
code-creation,Builtin,3,4412,0x140cc60,12,FunctionPrototypeToString
code-creation,Builtin,3,4416,0x140cc80,205,CreateIterResultObject
code-creation,Builtin,3,4420,0x140cd60,830,CreateGeneratorObject
code-creation,Builtin,3,4424,0x140d0a0,12,GeneratorFunctionConstructor
code-creation,Builtin,3,4429,0x140d0c0,516,GeneratorPrototypeNext
code-creation,Builtin,3,4433,0x140d2e0,524,GeneratorPrototypeReturn
code-creation,Builtin,3,4438,0x140d500,528,GeneratorPrototypeThrow
code-creation,Builtin,3,4442,0x140d720,12,AsyncFunctionConstructor
